cve_ent,nom_ent,cve_mun,nom_mun,cvegeo,cve_ageb,pobreza,pobreza_ext
11,Guanajuato,11020,Leon,1102000000000,0000,"(18, 34)","(0, 20)"
11,Guanajuato,11020,Leon,1102000010143,0143,"(18, 34)","(0, 20)"
11,Guanajuato,11020,Leon,1102000010181,0181,"(18, 34)","(0, 20)"
11,Guanajuato,11020,Leon,1102000010251,0251,"(18, 34)","(0, 20)"
11,Guanajuato,11020,Leon,1102000010270,0270,"(18, 34)","(0, 20)"
11,Guanajuato,11020,Leon,1102000010285,0285,"(18, 34)","(0, 20)"
11,Guanajuato,11020,Leon,1102000010302,0302,"(18, 34)","(0, 20)"
11,Guanajuato,11020,Leon,110200001036A,036A,"(18, 34)","(0, 20)"
11,Guanajuato,11020,Leon,110200001043A,043A,"(18, 34)","(0, 20)"
11,Guanajuato,11020,Leon,110200001050A,050A,"(18, 34)","(0, 20)"
11,Guanajuato,11020,Leon,1102000010533,0533,"(18, 34)","(0, 20)"
11,Guanajuato,11020,Leon,1102000010641,0641,"(18, 34)","(0, 20)"
11,Guanajuato,11020,Leon,1102000010694,0694,"(18, 34)","(0, 20)"
11,Guanajuato,11020,Leon,1102000010726,0726,"(18, 34)","(0, 20)"
11,Guanajuato,11020,Leon,110200001075A,075A,"(18, 34)","(0, 20)"
11,Guanajuato,11020,Leon,1102000010779,0779,"(18, 34)","(0, 20)"
11,Guanajuato,11020,Leon,1102000010800,0800,"(18, 34)","(0, 20)"
11,Guanajuato,11020,Leon,1102000010872,0872,"(18, 34)","(0, 20)"
11,Guanajuato,11020,Leon,1102000010980,0980,"(18, 34)","(0, 20)"
11,Guanajuato,11020,Leon,1102000010995,0995,"(18, 34)","(0, 20)"
11,Guanajuato,11020,Leon,1102000011052,1052,"(18, 34)","(0, 20)"
11,Guanajuato,11020,Leon,1102000011090,1090,"(18, 34)","(0, 20)"
11,Guanajuato,11020,Leon,1102000011300,1300,"(18, 34)","(0, 20)"
11,Guanajuato,11020,Leon,1102000011423,1423,"(18, 34)","(0, 20)"
11,Guanajuato,11020,Leon,1102000011457,1457,"(18, 34)","(0, 20)"
11,Guanajuato,11020,Leon,1102000011461,1461,"(18, 34)","(0, 20)"
11,Guanajuato,11020,Leon,1102000011546,1546,"(18, 34)","(0, 20)"
